mood,verse
afraid,"Fear thou not; for I am with thee: be not dismayed; for I am thy God: I will strengthen thee; yea, I will help thee; yea, I will uphold thee with the right hand of my righteousness. - Isaiah 41:10"
tired,"But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint. - Isaiah 40:31"
hopeless,"For I know the thoughts that I think toward you, saith the Lord, thoughts of peace, and not of evil, to give you an expected end. - Jeremiah 29:11"
joyful,"Rejoice in the Lord alway: and again I say, Rejoice. - Philippians 4:4"
anxious,"Be careful for nothing; but in every thing by prayer and supplication with thanksgiving let your requests be made known unto God. And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus. - Philippians 4:6-7"
guilty,"If we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness. - 1 John 1:9"
angry,"Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice: And be ye kind one to another, tenderhearted, forgiving one another, even as God for Christ's sake hath forgiven you. - Ephesians 4:31-32"
lonely,"When my father and my mother forsake me, then the Lord will take me up. - Psalm 27:10"
confused,"Trust in the Lord with all thine heart; and lean not unto thine own understanding. In all thy ways acknowledge him, and he shall direct thy paths. - Proverbs 3:5-6"
brokenhearted,"The Lord is nigh unto them that are of a broken heart; and saveth such as be of a contrite spirit. - Psalm 34:18"
tempted,"There hath no temptation taken you but such as is common to man: but God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation also make a way to escape, that ye may be able to bear it. - 1 Corinthians 10:13"
weak,"And he said unto me, My grace is sufficient for thee: for my strength is made perfect in weakness. - 2 Corinthians 12:9"
worried,"Casting all your care upon him; for he careth for you. - 1 Peter 5:7"
ashamed,"For the scripture saith, Whosoever believeth on him shall not be ashamed. - Romans 10:11"
lost,"For the Son of man is come to seek and to save that which was lost. - Luke 19:10"
rejected,"He is despised and rejected of men; a man of sorrows, and acquainted with grief: and we hid as it were our faces from him; he was despised, and we esteemed him not. - Isaiah 53:3"
happy,"Thou wilt shew me the path of life: in thy presence is fulness of joy; at thy right hand there are pleasures for evermore. - Psalm 16:11"
thankful,"In every thing give thanks: for this is the will of God in Christ Jesus concerning you. - 1 Thessalonians 5:18"
peaceful,"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee. - Isaiah 26:3"
loved,"For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come... shall be able to separate us from the love of God, which is in Christ Jesus our Lord. - Romans 8:38-39"
condemned,"There is therefore now no condemnation to them which are in Christ Jesus, who walk not after the flesh, but after the Spirit. - Romans 8:1"
betrayed,"But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you... - Matthew 5:44"
depressed,"Why art thou cast down, O my soul? and why art thou disquieted within me? hope thou in God: for I shall yet praise him, who is the health of my countenance, and my God. - Psalm 42:11"
mourning,"Blessed are they that mourn: for they shall be comforted. - Matthew 5:4"
discouraged,"Be strong and of a good courage, fear not, nor be afraid of them: for the Lord thy God, he it is that doth go with thee; he will not fail thee, nor forsake thee. - Deuteronomy 31:6"
restless,"Come unto me, all ye that labour and are heavy laden, and I will give you rest. - Matthew 11:28"
unloved,"The Lord hath appeared of old unto me, saying, Yea, I have loved thee with an everlasting love: therefore with lovingkindness have I drawn thee. - Jeremiah 31:3"
overwhelmed,"When my heart is overwhelmed: lead me to the rock that is higher than I. - Psalm 61:2"
doubtful,"Jesus said unto him, If thou canst believe, all things are possible to him that believeth. - Mark 9:23"
ashamed_of_past,"Therefore if any man be in Christ, he is a new creature: old things are passed away; behold, all things are become new. - 2 Corinthians 5:17"
